"Código","Unidade Territorial","UF","Referência","Quantidade total de famílias inscritas no Cadastro Único"
"330010","ANGRA DOS REIS","RJ","10/2017","18795"
"330010","ANGRA DOS REIS","RJ","11/2017","19135"
"330010","ANGRA DOS REIS","RJ","08/2017","21310"
"330010","ANGRA DOS REIS","RJ","12/2017","19456"
"330010","ANGRA DOS REIS","RJ","09/2017","18334"
"330010","ANGRA DOS REIS","RJ","01/2016","19739"
"330010","ANGRA DOS REIS","RJ","03/2016","19917"
"330010","ANGRA DOS REIS","RJ","04/2016","20018"
"330010","ANGRA DOS REIS","RJ","02/2016","19819"
"330010","ANGRA DOS REIS","RJ","05/2016","20102"
"330010","ANGRA DOS REIS","RJ","06/2016","20285"
"330010","ANGRA DOS REIS","RJ","07/2016","20435"
"330010","ANGRA DOS REIS","RJ","09/2016","20664"
"330010","ANGRA DOS REIS","RJ","10/2016","20773"
"330010","ANGRA DOS REIS","RJ","12/2016","19673"
"330010","ANGRA DOS REIS","RJ","08/2016","20521"
"330010","ANGRA DOS REIS","RJ","11/2016","20705"
"330010","ANGRA DOS REIS","RJ","01/2015","19307"
"330010","ANGRA DOS REIS","RJ","03/2015","19641"
"330010","ANGRA DOS REIS","RJ","04/2015","19791"
"330010","ANGRA DOS REIS","RJ","05/2015","19963"
"330010","ANGRA DOS REIS","RJ","06/2015","20140"
"330010","ANGRA DOS REIS","RJ","08/2015","19751"
"330010","ANGRA DOS REIS","RJ","11/2015","20036"
"330010","ANGRA DOS REIS","RJ","07/2015","19641"
"330010","ANGRA DOS REIS","RJ","02/2015","19465"
"330010","ANGRA DOS REIS","RJ","12/2015","20156"
"330010","ANGRA DOS REIS","RJ","10/2015","19942"
"330010","ANGRA DOS REIS","RJ","09/2015","19858"
"330010","ANGRA DOS REIS","RJ","01/2014","16227"
"330010","ANGRA DOS REIS","RJ","04/2014","17265"
"330010","ANGRA DOS REIS","RJ","05/2014","17560"
"330010","ANGRA DOS REIS","RJ","06/2014","18024"
"330010","ANGRA DOS REIS","RJ","03/2014","16950"
"330010","ANGRA DOS REIS","RJ","02/2014","16469"
"330010","ANGRA DOS REIS","RJ","07/2014","18433"
"330010","ANGRA DOS REIS","RJ","08/2014","18897"
"330010","ANGRA DOS REIS","RJ","09/2014","19186"
"330010","ANGRA DOS REIS","RJ","12/2014","19908"
"330010","ANGRA DOS REIS","RJ","10/2014","19437"
"330010","ANGRA DOS REIS","RJ","11/2014","19692"
"330010","ANGRA DOS REIS","RJ","01/2013","13015"
"330010","ANGRA DOS REIS","RJ","02/2013","13305"
"330010","ANGRA DOS REIS","RJ","03/2013","13490"
"330010","ANGRA DOS REIS","RJ","04/2013","14156"
"330010","ANGRA DOS REIS","RJ","05/2013","14225"
"330010","ANGRA DOS REIS","RJ","06/2013","14336"
"330010","ANGRA DOS REIS","RJ","07/2013","14448"
"330010","ANGRA DOS REIS","RJ","09/2013","14933"
"330010","ANGRA DOS REIS","RJ","08/2013","14693"
"330010","ANGRA DOS REIS","RJ","12/2013","16028"
"330010","ANGRA DOS REIS","RJ","10/2013","15179"
"330010","ANGRA DOS REIS","RJ","11/2013","15586"
"330010","ANGRA DOS REIS","RJ","12/2012","12919"
"330010","ANGRA DOS REIS","RJ","11/2012","12356"
"330010","ANGRA DOS REIS","RJ","10/2012","11950"
"330010","ANGRA DOS REIS","RJ","09/2012","11599"
"330010","ANGRA DOS REIS","RJ","08/2012","11110"
"330015","APERIBÉ","RJ","02/2022","1629"
"330015","APERIBÉ","RJ","09/2012","1842"
"330015","APERIBÉ","RJ","10/2012","1850"
"330015","APERIBÉ","RJ","11/2012","1848"
"330015","APERIBÉ","RJ","12/2012","1857"
"330015","APERIBÉ","RJ","11/2013","1954"
"330015","APERIBÉ","RJ","10/2013","1953"
"330015","APERIBÉ","RJ","12/2013","1960"
"330015","APERIBÉ","RJ","08/2013","1927"
"330015","APERIBÉ","RJ","09/2013","1945"
"330015","APERIBÉ","RJ","07/2013","1919"
"330015","APERIBÉ","RJ","06/2013","1910"
"330015","APERIBÉ","RJ","05/2013","1886"
"330015","APERIBÉ","RJ","04/2013","1889"
"330015","APERIBÉ","RJ","03/2013","1871"
"330015","APERIBÉ","RJ","02/2013","1867"
"330015","APERIBÉ","RJ","01/2013","1863"
"330015","APERIBÉ","RJ","11/2014","2057"
"330015","APERIBÉ","RJ","10/2014","2046"
"330015","APERIBÉ","RJ","12/2014","2061"
"330015","APERIBÉ","RJ","09/2014","2042"
"330015","APERIBÉ","RJ","08/2014","2035"
"330015","APERIBÉ","RJ","07/2014","2029"
"330015","APERIBÉ","RJ","02/2014","1978"
"330015","APERIBÉ","RJ","03/2014","1987"
"330015","APERIBÉ","RJ","06/2014","2002"
"330015","APERIBÉ","RJ","05/2014","1989"
"330015","APERIBÉ","RJ","04/2014","1985"
"330015","APERIBÉ","RJ","01/2014","1965"
"330015","APERIBÉ","RJ","09/2015","1711"
"330015","APERIBÉ","RJ","10/2015","1716"
"330015","APERIBÉ","RJ","12/2015","1731"
"330015","APERIBÉ","RJ","02/2015","1800"
"330015","APERIBÉ","RJ","07/2015","1695"
"330015","APERIBÉ","RJ","11/2015","1720"
"330015","APERIBÉ","RJ","08/2015","1701"
"330015","APERIBÉ","RJ","06/2015","1839"
"330015","APERIBÉ","RJ","05/2015","1832"
"330015","APERIBÉ","RJ","04/2015","1817"
"330015","APERIBÉ","RJ","03/2015","1808"
"330015","APERIBÉ","RJ","01/2015","1794"
"330015","APERIBÉ","RJ","11/2016","1693"
"330015","APERIBÉ","RJ","08/2016","1673"
"330015","APERIBÉ","RJ","12/2016","1471"
"330015","APERIBÉ","RJ","10/2016","1677"
"330015","APERIBÉ","RJ","09/2016","1675"
"330015","APERIBÉ","RJ","07/2016","1673"
"330015","APERIBÉ","RJ","06/2016","1660"
"330015","APERIBÉ","RJ","05/2016","1653"
"330015","APERIBÉ","RJ","02/2016","1604"
"330015","APERIBÉ","RJ","04/2016","1643"
"330015","APERIBÉ","RJ","03/2016","1613"
"330015","APERIBÉ","RJ","01/2016","1604"
"330015","APERIBÉ","RJ","09/2017","1327"
"330015","APERIBÉ","RJ","12/2017","1395"
"330015","APERIBÉ","RJ","08/2017","1537"
"330015","APERIBÉ","RJ","11/2017","1358"
"330015","APERIBÉ","RJ","10/2017","1354"
"330015","APERIBÉ","RJ","04/2017","1488"
"330015","APERIBÉ","RJ","07/2017","1519"
"330015","APERIBÉ","RJ","01/2017","1475"
"330015","APERIBÉ","RJ","05/2017","1500"
"330015","APERIBÉ","RJ","02/2017","1476"
"330015","APERIBÉ","RJ","06/2017","1509"
"330015","APERIBÉ","RJ","03/2017","1476"
"330015","APERIBÉ","RJ","11/2018","1367"
"330015","APERIBÉ","RJ","07/2018","1383"
"330015","APERIBÉ","RJ","10/2018","1330"
"330015","APERIBÉ","RJ","12/2018","1391"
"330015","APERIBÉ","RJ","09/2018","1272"
"330015","APERIBÉ","RJ","08/2018","1248"
"330015","APERIBÉ","RJ","06/2018","1379"
"330015","APERIBÉ","RJ","04/2018","1342"
"330015","APERIBÉ","RJ","05/2018","1360"
"330015","APERIBÉ","RJ","03/2018","1326"
"330015","APERIBÉ","RJ","02/2018","1433"
"330015","APERIBÉ","RJ","01/2018","1412"
"330015","APERIBÉ","RJ","10/2019","1471"
"330015","APERIBÉ","RJ","12/2019","1501"
"330015","APERIBÉ","RJ","11/2019","1484"
"330015","APERIBÉ","RJ","08/2019","1493"
"330015","APERIBÉ","RJ","09/2019","1454"
"330015","APERIBÉ","RJ","07/2019","1462"
"330015","APERIBÉ","RJ","06/2019","1460"
"330015","APERIBÉ","RJ","05/2019","1440"
"330015","APERIBÉ","RJ","04/2019","1427"
"330015","APERIBÉ","RJ","03/2019","1451"
"330015","APERIBÉ","RJ","02/2019","1444"
"330015","APERIBÉ","RJ","01/2019","1434"
"330015","APERIBÉ","RJ","10/2020","1498"
"330015","APERIBÉ","RJ","11/2020","1436"
"330015","APERIBÉ","RJ","07/2020","1482"
"330015","APERIBÉ","RJ","12/2020","1448"
"330015","APERIBÉ","RJ","09/2020","1492"
"330015","APERIBÉ","RJ","08/2020","1489"
"330015","APERIBÉ","RJ","06/2020","1479"
"330015","APERIBÉ","RJ","05/2020","1470"
"330015","APERIBÉ","RJ","04/2020","1471"
"330015","APERIBÉ","RJ","03/2020","1468"
"330015","APERIBÉ","RJ","02/2020","1454"
"330015","APERIBÉ","RJ","01/2020","1520"
"330015","APERIBÉ","RJ","01/2021","1381"
"330015","APERIBÉ","RJ","10/2021","1486"
"330015","APERIBÉ","RJ","03/2021","1386"
"330015","APERIBÉ","RJ","04/2021","1403"
"330015","APERIBÉ","RJ","12/2021","1562"
"330015","APERIBÉ","RJ","02/2021","1362"
"330015","APERIBÉ","RJ","11/2021","1539"
"330015","APERIBÉ","RJ","09/2021","1475"
"330015","APERIBÉ","RJ","08/2021","1458"
"330015","APERIBÉ","RJ","05/2021","1417"
"330015","APERIBÉ","RJ","06/2021","1426"
"330015","APERIBÉ","RJ","07/2021","1445"
"330015","APERIBÉ","RJ","01/2022","1574"
"330015","APERIBÉ","RJ","03/2022","1661"
"330015","APERIBÉ","RJ","04/2022","1729"
"330015","APERIBÉ","RJ","05/2022","1778"
"330015","APERIBÉ","RJ","06/2022","1839"
"330015","APERIBÉ","RJ","07/2022","1886"
"330015","APERIBÉ","RJ","08/2022","1975"
"330015","APERIBÉ","RJ","09/2022","2090"
"330015","APERIBÉ","RJ","10/2022","2183"
"330015","APERIBÉ","RJ","11/2022","2235"
"330015","APERIBÉ","RJ","12/2022","2269"
"330015","APERIBÉ","RJ","01/2023","2276"
"330015","APERIBÉ","RJ","03/2023","2328"
"330015","APERIBÉ","RJ","04/2023","2350"
"330015","APERIBÉ","RJ","02/2023","2304"
"330015","APERIBÉ","RJ","05/2023","2384"
"330015","APERIBÉ","RJ","06/2023","2396"
"330015","APERIBÉ","RJ","07/2023","2417"
"330015","APERIBÉ","RJ","08/2023","2418"
"330015","APERIBÉ","RJ","09/2023","2442"
"330015","APERIBÉ","RJ","10/2023","2454"
"330015","APERIBÉ","RJ","11/2023","2479"
"330015","APERIBÉ","RJ","12/2023","2508"
"330015","APERIBÉ","RJ","03/2024","2473"
"330015","APERIBÉ","RJ","06/2024","2512"
"330015","APERIBÉ","RJ","07/2024","2469"
"330015","APERIBÉ","RJ","08/2024","2500"
"330015","APERIBÉ","RJ","09/2024","2454"
"330015","APERIBÉ","RJ","01/2024","2435"
"330015","APERIBÉ","RJ","10/2024","2474"
"330015","APERIBÉ","RJ","02/2024","2439"
"330015","APERIBÉ","RJ","11/2024","2500"
"330015","APERIBÉ","RJ","12/2024","2504"
"330015","APERIBÉ","RJ","04/2024","2493"
"330015","APERIBÉ","RJ","05/2024","2505"
"330015","APERIBÉ","RJ","05/2025","2483"
"330015","APERIBÉ","RJ","03/2025","2464"
"330015","APERIBÉ","RJ","01/2025","2458"
"330015","APERIBÉ","RJ","02/2025","2456"
"330015","APERIBÉ","RJ","08/2012","1826"
"330020","ARARUAMA","RJ","09/2012","14742"
"330020","ARARUAMA","RJ","10/2012","14840"
"330020","ARARUAMA","RJ","11/2012","14871"
"330020","ARARUAMA","RJ","12/2012","14873"
"330020","ARARUAMA","RJ","11/2013","16211"
"330020","ARARUAMA","RJ","10/2013","16100"
"330020","ARARUAMA","RJ","12/2013","16285"
"330020","ARARUAMA","RJ","08/2013","15811"
"330020","ARARUAMA","RJ","09/2013","15949"
"330020","ARARUAMA","RJ","07/2013","15730"
"330020","ARARUAMA","RJ","06/2013","15485"
"330020","ARARUAMA","RJ","05/2013","15242"
"330020","ARARUAMA","RJ","04/2013","15191"
"330020","ARARUAMA","RJ","03/2013","15050"
"330020","ARARUAMA","RJ","02/2013","14960"
"330020","ARARUAMA","RJ","01/2013","14890"
"330020","ARARUAMA","RJ","11/2014","17827"
"330020","ARARUAMA","RJ","10/2014","17716"
"330020","ARARUAMA","RJ","12/2014","17967"
"330020","ARARUAMA","RJ","09/2014","17549"
"330020","ARARUAMA","RJ","08/2014","17406"
"330020","ARARUAMA","RJ","07/2014","17214"
"330020","ARARUAMA","RJ","02/2014","16518"
"330020","ARARUAMA","RJ","03/2014","16673"
"330020","ARARUAMA","RJ","06/2014","17078"
"330020","ARARUAMA","RJ","05/2014","16926"
"330020","ARARUAMA","RJ","04/2014","16823"
"330020","ARARUAMA","RJ","01/2014","16420"
"330020","ARARUAMA","RJ","09/2015","17042"
"330020","ARARUAMA","RJ","10/2015","17143"
"330020","ARARUAMA","RJ","12/2015","17344"
"330020","ARARUAMA","RJ","02/2015","16715"
"330020","ARARUAMA","RJ","07/2015","16737"
"330020","ARARUAMA","RJ","11/2015","17229"
"330020","ARARUAMA","RJ","08/2015","16920"
"330020","ARARUAMA","RJ","06/2015","17211"
"330020","ARARUAMA","RJ","05/2015","17156"
"330020","ARARUAMA","RJ","04/2015","17029"
"330020","ARARUAMA","RJ","03/2015","16880"
"330020","ARARUAMA","RJ","01/2015","16597"
"330020","ARARUAMA","RJ","11/2016","18107"
"330020","ARARUAMA","RJ","08/2016","17868"
"330020","ARARUAMA","RJ","12/2016","17039"
"330020","ARARUAMA","RJ","10/2016","18070"
"330020","ARARUAMA","RJ","09/2016","17955"
"330020","ARARUAMA","RJ","07/2016","17772"
"330020","ARARUAMA","RJ","06/2016","17575"
"330020","ARARUAMA","RJ","05/2016","17398"
"330020","ARARUAMA","RJ","02/2016","16829"
"330020","ARARUAMA","RJ","04/2016","17212"
"330020","ARARUAMA","RJ","03/2016","16970"
"330020","ARARUAMA","RJ","01/2016","16718"
"330020","ARARUAMA","RJ","09/2017","17145"
"330020","ARARUAMA","RJ","12/2017","18336"
"330020","ARARUAMA","RJ","08/2017","18724"
"330020","ARARUAMA","RJ","11/2017","17840"
"330020","ARARUAMA","RJ","10/2017","17507"
"330020","ARARUAMA","RJ","04/2017","17894"
"330020","ARARUAMA","RJ","07/2017","18516"
"330020","ARARUAMA","RJ","01/2017","17057"
"330020","ARARUAMA","RJ","05/2017","18072"
"330020","ARARUAMA","RJ","02/2017","17227"
"330020","ARARUAMA","RJ","06/2017","18274"
"330020","ARARUAMA","RJ","03/2017","17526"
"330020","ARARUAMA","RJ","11/2018","19289"
"330020","ARARUAMA","RJ","07/2018","19258"
"330020","ARARUAMA","RJ","10/2018","19003"
"330020","ARARUAMA","RJ","12/2018","18756"
"330020","ARARUAMA","RJ","09/2018","18695"
"330020","ARARUAMA","RJ","08/2018","18412"
"330020","ARARUAMA","RJ","06/2018","19158"
"330020","ARARUAMA","RJ","04/2018","18644"
"330020","ARARUAMA","RJ","05/2018","18949"
"330020","ARARUAMA","RJ","03/2018","18360"
"330020","ARARUAMA","RJ","02/2018","18828"
"330020","ARARUAMA","RJ","01/2018","18601"
"330020","ARARUAMA","RJ","10/2019","19789"
"330020","ARARUAMA","RJ","12/2019","20198"
"330020","ARARUAMA","RJ","11/2019","19977"
"330020","ARARUAMA","RJ","08/2019","20331"
"330020","ARARUAMA","RJ","09/2019","19575"
"330020","ARARUAMA","RJ","07/2019","20041"
"330020","ARARUAMA","RJ","06/2019","19751"
"330020","ARARUAMA","RJ","05/2019","19447"
"330020","ARARUAMA","RJ","04/2019","19184"
"330020","ARARUAMA","RJ","03/2019","19448"
"330020","ARARUAMA","RJ","02/2019","19241"
"330020","ARARUAMA","RJ","01/2019","19029"
"330020","ARARUAMA","RJ","10/2020","20175"
"330020","ARARUAMA","RJ","11/2020","19445"
"330020","ARARUAMA","RJ","07/2020","19997"
"330020","ARARUAMA","RJ","12/2020","19599"
"330020","ARARUAMA","RJ","09/2020","20082"
"330020","ARARUAMA","RJ","08/2020","20030"
"330020","ARARUAMA","RJ","06/2020","19946"
"330020","ARARUAMA","RJ","05/2020","19915"
"330020","ARARUAMA","RJ","04/2020","19893"
"330020","ARARUAMA","RJ","03/2020","19849"
"330020","ARARUAMA","RJ","02/2020","19624"
"330020","ARARUAMA","RJ","01/2020","20351"
"330020","ARARUAMA","RJ","01/2021","19638"
"330020","ARARUAMA","RJ","10/2021","20998"
